2019-11-16 05:11:37.957385
Time,Signal,Attention,Meditation,Delta,Theta,Low Alpha,High Alpha,Low Beta,High Beta,Low Gamma,Mid Gamma
401,0,91,10,1149488,239983,22782,87318,69974,28753,12844,11614
402,26,87,13,945733,53398,21001,8939,30851,15449,5242,3403
403,0,87,13,451190,32920,10101,12630,6381,2241,2255,1694
404,26,87,13,1067452,118992,5880,18693,17263,21927,6923,2640
405,26,87,13,1243359,113824,39594,25623,47181,33019,2845,2230
406,26,70,20,1707716,142894,40128,11867,58638,11991,16221,6939
407,0,70,34,825448,47426,8249,10484,10696,20206,5098,1640
408,0,69,38,1531421,366498,281905,54762,158763,144382,67603,13105
409,0,78,40,1171659,63302,42658,38077,38354,32951,6389,4718
410,0,93,48,1641385,68774,134756,62510,123143,55688,55838,2891
411,0,94,41,43088,23910,8098,3013,6016,3679,1501,499
412,0,94,41,1135298,31946,21375,11527,23184,13602,2330,1909
413,0,84,37,564147,111008,31261,3936,5375,18590,2983,881
414,0,84,37,233817,29185,9120,4343,3927,2501,1298,444
415,26,83,35,1155223,26644,10849,19570,11486,8047,2137,710
416,0,90,34,916990,68495,40590,9836,25815,11123,4878,1350
417,0,74,37,615317,55968,2933,9863,19118,24526,5381,2294
418,0,78,26,108536,37836,8537,7522,2974,2213,3043,707
419,0,61,20,1810616,424198,70486,23384,82323,33223,15582,4814
420,0,53,16,1992252,949878,245001,64831,222582,62177,34767,7043
421,0,63,11,86015,9534,2347,3763,6524,2654,2274,508
422,0,51,21,294603,30145,2801,6511,32430,5038,6125,1480
423,0,51,21,1314634,95094,49901,51164,16245,58857,4667,3833
424,26,53,24,872988,89513,10074,18894,34514,13049,4644,2327
425,0,53,24,1334039,26999,45325,27550,123884,67936,14295,6822
426,26,53,24,412083,84878,27870,21411,14938,27917,8870,4549
427,26,53,24,953472,43953,7535,11935,7118,13259,3927,1057
428,51,53,24,1067081,83347,16936,29246,11059,14103,5121,2791
429,51,53,24,734853,44314,43949,17598,29198,29310,20119,8348
430,51,53,24,384845,364227,59955,300039,388664,218687,182048,295458
431,51,53,24,1656805,413490,225907,199503,144423,268232,272817,75565
432,51,53,24,1189864,697849,148723,111910,140098,727152,424917,129041
433,51,0,0,729387,71535,25392,42484,39216,28640,12854,18175
434,51,0,0,559664,183091,66981,19822,182320,74712,87320,18348
435,51,0,0,1515950,390153,19170,80397,36023,96491,71208,31414
436,51,0,0,1546891,228932,13159,17340,37936,170593,97651,129023
437,51,0,0,2016542,100977,8427,37060,129984,37402,30161,13678
